fees_status,day,month,advertising_channel,advertisement,enrolled_courses,paid_fees,number_of_phone_calls,average_call_duration,training_models,training_levels,area_code,sale_team,consultant
Paid,1,Apr,Television Ad,AD01-9364,1,"EGP 7,000,000 ",3,2:00,GK,KJI. L4,A7,Salah,Jood
Paid,10,Aug,Television Ad,AD01-9361,3,"EGP 11,000,000 ",1,2:00,GK,Pre. L8,B13,Mohammed,Kisho
Paid,20,Sep,Company Website,AD01-9364,2,"EGP 12,000,000 ",3,2:00,GK,Fndn. L5,A1,Mohammed,Rony
Paid,23,Sep,Facebook Page,AD01-9364,4,"EGP 15,000,000 ",1,2:00,GK,Fndn. L5,A2,Abdullah,Adam
Paid,11,Sep,Television Ad,AD01-9364,5,"EGP 25,000,000 ",2,2:00,GK,Fndn. L3,B13,Ahmed,Khalil
Paid,2,Oct,WhatsApp,AD01-9361,3,"EGP 12,000,000 ",1,2:00,GK,Fndn. L1,A4,Salah,Sahar
Paid,6,Oct,WhatsApp,AD01-9362,5,"EGP 20,000,000 ",2,2:00,GK,KJI. L4,B12,Ahmed,Khalil
Paid,26,Nov,Facebook Page,AD01-9363,1,"EGP 19,000,000 ",2,2:00,BE,Pre. L2,A2,Salah,Sahar
Paid,15,Nov,WhatsApp,AD01-9362,2,"EGP 38,000,000 ",2,2:00,BE,Fndn. L1,B18,Mohammed,Kisho
Paid,17,Nov,Google Ad,AD01-9361,2,"EGP 12,000,000 ",2,2:00,GK,Fndn. L6,C8,Mohammed,Mohmed
Paid,1,Apr,Television Ad,AD01-9364,1,"EGP 7,000,000 ",3,2:00,GK,KJI. L4,A7,Salah,Jood
Paid,2,Oct,WhatsApp,AD01-9361,3,"EGP 12,000,000 ",1,2:00,GK,Fndn. L1,A4,Salah,Kisho
Paid,6,Oct,WhatsApp,AD01-9362,5,"EGP 20,000,000 ",2,2:00,GK,KJI. L4,B12,Ahmed,Dary
Paid,26,Nov,Facebook Page,AD01-9363,1,"EGP 19,000,000 ",2,2:00,BE,Pre. L2,A2,Salah,Reham
Paid,2,Oct,WhatsApp,AD01-9361,3,"EGP 12,000,000 ",1,2:00,GK,Fndn. L1,A4,Salah,Rony
